sp_terr,sp_aero,n_parejas,n_invernantes,inver_eur,inver_ibe
Alca torda,NA,NA,NA,NA,NA
Anas acuta,Anas acuta,NA,NA,NA,NA
Anas crecca,Anas crecca,NA,NA,NA,NA
Anas platyrhynchos,Anas platyrhynchos,NA,NA,NA,NA
Anser anser,Anser anser,NA,NA,NA,NA
Ardea alba,Ardea alba,NA,NA,NA,NA
Ardea cinerea,Ardea cinerea,NA,NA,NA,NA
Aythya ferina,Aythya ferina,NA,NA,NA,NA
Bubulcus ibis,NA,NA,NA,NA,NA
Burhinus oedicnemus,NA,NA,NA,NA,NA
Calidris alba,NA,NA,NA,NA,NA
Calidris alpina,NA,NA,NA,NA,NA
Calidris canutus,NA,NA,NA,NA,NA
Calidris ferruginea,NA,NA,NA,NA,NA
Calidris minuta,NA,NA,NA,NA,NA
Calidris pugnax,Calidris pugnax,NA,NA,NA,NA
Charadrius alexandrinus,NA,NA,NA,NA,NA
Charadrius dubius,NA,NA,NA,NA,NA
Charadrius hiaticula,NA,NA,NA,NA,NA
Chroicocephalus genei,NA,NA,NA,NA,NA
Chroicocephalus ridibundus,Chroicocephalus ridibundus,NA,NA,NA,NA
Ciconia ciconia,Ciconia ciconia,NA,NA,NA,NA
Ciconia nigra,NA,NA,NA,NA,NA
Circus aeruginosus,NA,NA,NA,NA,NA
Columba palumbus,NA,NA,NA,NA,NA
Egretta garzetta,NA,NA,NA,NA,NA
Falco tinnunculus,NA,NA,NA,NA,NA
Fulica atra,Fulica atra,NA,NA,NA,NA
Gallinago gallinago,NA,NA,NA,NA,NA
Gallinula chloropus,NA,NA,NA,NA,NA
Grus grus,Grus grus,NA,NA,NA,NA
Haematopus ostralegus,NA,NA,NA,NA,NA
Himantopus himantopus,Himantopus himantopus,NA,NA,NA,NA
Larus audouinii,NA,NA,NA,NA,NA
Larus fuscus,Larus fuscus,NA,NA,NA,NA
Larus melanocephalus,NA,NA,NA,NA,NA
Larus michahellis,NA,NA,NA,NA,NA
Limosa lapponica,NA,NA,NA,NA,NA
Limosa limosa,Limosa limosa,NA,NA,NA,NA
Mareca penelope,Mareca penelope,NA,NA,NA,NA
Mareca strepera,Mareca strepera,NA,NA,NA,NA
Marmaronetta angustirostris,NA,NA,NA,NA,NA
Melanitta nigra,NA,NA,NA,NA,NA
Netta rufina,Netta rufina,NA,NA,NA,NA
Numenius arquata,NA,NA,NA,NA,NA
Nycticorax nycticorax,NA,NA,NA,NA,NA
Oxyura leucocephala,NA,NA,NA,NA,NA
Phalacrocorax carbo,Phalacrocorax carbo,NA,NA,NA,NA
Phoenicopterus roseus,Phoenicopterus roseus,NA,NA,NA,NA
Platalea leucorodia,Platalea leucorodia,NA,NA,NA,NA
Plegadis falcinellus,Plegadis falcinellus,NA,NA,NA,NA
Pluvialis apricaria,Pluvialis apricaria,NA,NA,NA,NA
Pluvialis squatarola,Pluvialis squatarola,NA,NA,NA,NA
Podiceps cristatus,NA,NA,NA,NA,NA
Podiceps nigricollis,Podiceps nigricollis,NA,NA,NA,NA
Porphyrio porphyrio,Porphyrio porphyrio,NA,NA,NA,NA
Pterocles alchata,NA,NA,NA,NA,NA
Puffinus mauretanicus,NA,NA,NA,NA,NA
Recurvirostra avosetta,Recurvirostra avosetta,NA,NA,NA,NA
Spatula clypeata,Spatula clypeata,NA,NA,NA,NA
Spatula querquedula,Spatula querquedula,NA,NA,NA,NA
Sterna hirundo,NA,NA,NA,NA,NA
Tachybaptus ruficollis,NA,NA,NA,NA,NA
Tadorna tadorna,Tadorna tadorna,NA,NA,NA,NA
Thalasseus sandvicensis,NA,NA,NA,NA,NA
Tringa erythropus,NA,NA,NA,NA,NA
Tringa nebularia,NA,NA,NA,NA,NA
Tringa ochropus,NA,NA,NA,NA,NA
Tringa totanus,NA,NA,NA,NA,NA
Vanellus vanellus,Vanellus vanellus,NA,NA,NA,NA
NA,Anatidae spp.,NA,NA,NA,NA
NA,Bubulcus/Egretta,NA,NA,NA,NA
NA,Charadrius spp./Calidris spp.,NA,NA,NA,NA
NA,Chroicocephalus genei/ridibundus,NA,NA,NA,NA
NA,Larus michahellis/fuscus,NA,NA,NA,NA
NA,Tringa totanus/erythropus,NA,NA,NA,NA
